EventId,EventTemplate
E1,instruction cache parity error corrected
E2,MidplaneSwitchController performing bit sparing on <*> bit 3
E3,generating <*>
E4,"<*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>"
E5,<*> L3 <*> error(s) (dcr 0x<*>) detected and corrected
E6,"CE sym <*> at 0x<*>, mask 0x<*>"
E7,total of <*> ddr error(s) detected and corrected
E8,ddr: activating redundant bit steering: rank=0 <*>
E9,"ddr: excessive soft failures, consider replacing the card"
E10,"ciod: Error loading <*> invalid or missing program image, No such file or directory"
E11,<*> double-hummer alignment exceptions
E12,<*> tree receiver <*> in re-synch state event(s) (dcr 0x<*>) detected
E13,idoproxydb has been started: $Name: DRV142_2005 $ Input parameters: -enableflush -loguserinfo db.properties BlueGene1
E14,ciodb has been restarted.
E15,mmcs_db_server has been started: ./mmcs_db_server --useDatabase BGL --dbproperties serverdb.properties --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all
E16,ciod: LOGIN <*> failed: No such file or directory
E17,ciod: failed to read message prefix on control stream (CioStream socket to <*>
E18,data TLB error interrupt
E19,instruction address: 0x<*>
E20,machine check <*>
E21,machine check status register: 0x<*>
E22,summary...........................1
E23,instruction plb error.............0
E24,data <*> plb <*>
E25,tlb error.........................0
E26,i-cache parity error..............0
E27,d-cache <*> parity <*>
E28,imprecise machine check...........0
E29,machine state register: 0x<*>
E30,wait state enable.................0
E31,critical input interrupt enable...0
E32,external input interrupt <*>
E33,problem state <*>
E34,floating point instr. enabled.....1
E35,floating pt ex mode <*> enable......0
E36,debug wait enable.................0
E37,debug interrupt enable............0
E38,instruction address space.........0
E39,data address space................0
E40,core configuration register: 0x<*>
E41,disable store gathering..................0
E42,disable apu instruction broadcast........0
E43,disable trace broadcast..................0
E44,guaranteed <*> cache block <*>
E45,force load/store alignment...............0
E46,icache prefetch <*>
E47,general purpose registers:
E48,0:<*> <*> 2:1eeeeeee <*>
E49,4:0037f084 5:<*> 6:<*> 7:<*>
E50,8:009f7120 9:<*> 10:009741e0 11:<*>
E51,<*> 13:1eeeeeee 14:ffffffff 15:ffffffff
E52,16:<*> 17:<*> <*> <*>
E53,20:<*> <*> 22:<*> <*>
E54,24:1fefff40 25:0000000a 26:1fefff60 27:009741e0
E55,28:<*> 29:<*> <*> <*>
E56,special purpose registers:
E57,<*> cr:<*> xer:<*> <*>
E58,rts panic! - stopping execution
E59,<*> torus receiver <*> input pipe error(s) (dcr 0x<*>) detected and corrected
E60,data address: 0x<*>
E61,4:0000000e 5:000865b0 <*> <*>
E62,<*> 9:<*> 10:<*> 11:0000003c
E63,16:<*> 17:00089b10 18:001e7ea0 19:<*>
E64,20:<*> 21:001e7e94 <*> 23:<*>
E65,<*> 25:0000000e 26:000865b0 27:00089ae0
E66,28:<*> <*> 30:0000000e 31:000865b0
E67,rts internal error
E68,12:<*> 13:1eeeeeee 14:001e9284 15:<*>
E69,<*> 17:<*> 18:001e7ea0 19:ffffffff
